id,progeny,family,IA_2012_yield,IA_2013_yield,IL_2012_yield,IL_2013_yield,IN_2012_yield,IN_2013_yield,NE_2012_yield,IA_2012_Yield,IA_2013_Yield,IL_2012_Yield,IL_2013_Yield,IN_2012_Yield,IN_2013_Yield,NE_2012_Yield,IA_2013_Protein,IL_2012_Protein,IL_2013_Protein,IN_2012_Protein,IN_2013_Protein,NE_2012_Protein,NE_2013_Protein,IA_2013_Oil,IL_2012_Oil,IL_2013_Oil,IN_2012_Oil,IN_2013_Oil,NE_2012_Oil,NE_2013_Oil,IA_2013_Fiber,IL_2012_Fiber,IL_2013_Fiber,IN_2012_Fiber,IN_2013_Fiber,NE_2012_Fiber,NE_2013_Fiber,IA_2013_seedWT,IL_2012_seedWT,IL_2013_seedWT,IN_2012_seedWT,IN_2013_seedWT,NE_2012_seedWT,NE_2013_seedWT,mean_Yield,mean_Protein,mean_Oil,mean_Fiber,mean_seedWT
129,DS11.03036,IA3023xX4J105.3.4,3368,1779,4815,4001,5286,5852,5739,3367.6,1779,4815.1,4001.4,5286,5851.8,5738.6,34.03,33.14,31.01,35.04,33.32,33.9,35.8,18.74,20.36,21.07,19.53,21.11,19.3,19.54,4.86,4.75,4.93,4.64,4.68,4.8,4.59,14.2,19.74,15.1,18.08,17.7,14.9,12.5,4405.642857,33.74857143,19.95,4.75,16.03142857
130,DS11.03037,IA3023xX4J105.3.4,3971,2170,3362,3632,4846,5809,5590,3971.3,2170.1,3362.5,3631.5,4846.3,5808.9,5589.5,33.5,32.57,32.55,35.09,34.8,34.1,35.76,19.73,20.17,20.86,19.12,19.46,18.7,19.11,4.89,4.78,4.8,4.67,4.7,4.8,4.73,13.7,17.23,15.4,18.35,17.1,15.8,13.3,4197.157143,34.05285714,19.59285714,4.767142857,15.84
131,DS11.03038,IA3023xX4J105.3.4,3228,2870,3840,3262,5156,4760,5203,3228.4,2870.5,3840,3261.6,5156.5,4760.3,5203.3,32.8,33.06,32,34.27,34.5,34.2,36.02,19.3,21,21.9,19.92,20.53,19.4,19.86,4.93,4.68,4.79,4.7,4.63,4.8,4.51,16.2,16.98,14,17.36,14.4,15.2,12.2,4045.8,33.83571429,20.27285714,4.72,15.19142857
132,DS11.03039,IA3023xX4J105.3.4,3463,2711,3914,3504,5083,4865,6312,3462.8,2711.3,3914,3503.7,5083.3,4864.9,6311.5,33.28,32.84,30.3,35.67,33.66,33.9,35.75,19.63,20.91,22.8,19.33,21.12,19.8,19.52,4.9,4.67,4.84,4.62,4.66,4.7,4.61,17.3,15.88,14.8,17.3,17.3,15.4,12.2,4264.5,33.62857143,20.44428571,4.714285714,15.74
133,DS11.03041,IA3023xX4J105.3.4,3022,3649,4075,3020,4929,5035,5172,3021.7,3649.3,4075.4,3019.5,4928.8,5034.7,5171.9,34.6,32.22,32.1,34.93,33.94,34.1,35.2,18.8,19.99,21.09,18.98,19.2,18.7,19.43,4.84,4.85,4.87,4.72,4.81,4.9,4.67,16.6,17.02,13.2,17.6,15.2,14.9,12.2,4128.757143,33.87,19.45571429,4.808571429,15.24571429
134,DS11.03044,IA3023xX4J105.3.4,3308,3485,3544,3712,4202,5306,4880,3308.4,3485.3,3544.1,3712.2,4202,5306.2,4879.8,32.08,30.63,31.58,33.66,33.01,33.3,34,19.3,20.79,21.79,19.41,19.59,19.4,19.68,5.02,4.91,4.83,4.8,4.92,4.8,4.75,17.7,17.72,16,17.18,18.5,17.6,12.8,4062.571429,32.60857143,19.99428571,4.861428571,16.78571429
135,DS11.03045,IA3023xX4J105.3.4,3471,3989,4102,2858,3722,4907,4642,3471,3989.4,4102.3,2858.1,3722,4906.8,4641.6,33.29,34.51,33.5,36.74,35.18,36,36.3,18.55,19.17,20.1,18.93,19.2,17.8,18.37,4.9,4.72,4.79,4.57,4.69,4.8,4.64,15.3,16.46,12.2,15.87,14.3,11.9,10.1,3955.885714,35.07428571,18.87428571,4.73,13.73285714
136,DS11.03047,IA3023xX4J105.3.4,3576,4151,4156,3638,3815,6234,4884,3575.8,4150.6,4156.1,3638.2,3814.9,6233.9,4884.1,33.13,33.62,33.67,34.97,35.44,35.7,35.84,18.52,19.29,20.72,18.74,18.86,18,18.82,5.04,4.8,4.73,4.8,4.7,4.8,4.67,16.5,16.09,14.1,15.96,17.2,14.3,11.7,4350.514286,34.62428571,18.99285714,4.791428571,15.12142857
137,DS11.03048,IA3023xX4J105.3.4,3123,3649,4008,3484,5126,5454,3677,3123,3649.4,4008.1,3483.6,5125.7,5453.6,3676.7,31.61,31.56,31.95,33.95,34.47,35.3,35.63,19.17,20.65,21.8,19.83,19.71,18.7,19.7,5.03,4.88,4.83,4.76,4.72,4.8,4.58,16.8,15.35,14.1,16.91,16.7,13.9,11.4,4074.3,33.49571429,19.93714286,4.8,15.02285714
138,DS11.03050,IA3023xX4J105.3.4,2677,3652,3611,3154,4338,4199,6050,2677.1,3652.3,3611.3,3154,4337.9,4198.8,6050,34.85,33.79,33.69,35.86,34.9,35.8,36.47,17.78,19.49,20.5,18.37,19.38,18.1,19,4.83,4.77,4.75,4.71,4.7,4.7,4.56,16.3,16.64,13.6,16.29,15.5,16.4,12.4,3954.485714,35.05142857,18.94571429,4.717142857,15.30428571
139,DS11.03052,IA3023xX4J105.3.4,3582.5,3589.5,3675,3642,3979,5490,5865,3764.6,3706.7,3228,3678.6,4079.8,5388.3,5799,31.4,32.57,31.8,34.57,33.21,33.1,35.07,19.55,20.75,21.47,20.48,20.5,19.8,19.96,5,4.75,4.83,4.6,4.8,4.8,4.63,17.1,14.46,15.8,19.28,17.2,17,13.8,4235,33.10285714,20.35857143,4.772857143,16.37714286
140,DS11.03055,IA3023xX4J105.3.4,3662,4018,4452,3477,5364,5605,5708,3661.8,4017.6,4452,3476.8,5363.5,5604.9,5708.4,34.62,32.84,32.82,34.33,34.54,33.4,34.31,19.21,20.27,21.34,19.8,19.6,19.5,20.49,4.92,4.79,4.75,4.69,4.7,4.8,4.67,18.3,19.87,16.1,20.68,19,17.3,14.2,4612.142857,33.83714286,20.03,4.76,17.92142857
