id,progeny,family,GDDTA_summer,GDDTS_summer,PH_summer,EH_summer,TLN_summer,GDDTA_winter,GDDTS_winter,PH_winter,EH_winter,TLN_winter
125,05CL_2840,B97xCML254,933.2753233,969.4550347,152.0877281,77.24505723,21.25215039,882.4668475,892.2132101,126.8433722,56.06752991,17.17617635
126,05CL_2841,B97xCML254,1001.293548,1101.665569,160.1235832,77.03213154,21.54826397,891.9332064,957.4070205,124.0190148,46.37658458,16.8691332
127,05CL_2842,B97xCML254,924.1799649,1012.163994,152.7486665,64.69750133,21.42690857,836.0953532,867.6801844,121.5382182,42.94929137,16.17118933
128,05CL_2843,B97xCML254,949.3993239,1011.366099,178.0495957,99.03934542,21.02610713,873.9139747,904.1071852,136.6081921,62.53074587,16.88737215
129,05CL_2844,B97xCML254,983.5168389,1042.692802,154.0665024,71.01427815,19.77096523,919.5244323,935.7319847,123.5299684,49.93868708,16.42505506
130,05CL_2845,B97xCML254,1001.477048,1050.658791,180.6652095,87.98306967,20.66529839,910.450424,930.2494009,131.7210276,59.97883756,17.28325944
131,05CL_2846,B97xCML254,975.3350086,1017.811909,162.4761313,86.12175537,21.27243986,900.8271947,919.8767334,125.8167475,63.22482038,17.415158
132,05CL_2847,B97xCML254,1080.183049,1179.896456,152.5521673,73.2476978,22.95142447,928.1254851,941.0541238,111.3702766,40.28501288,17.44906759
133,05CL_2849,B97xCML254,897.1620479,950.9529211,142.5961964,61.20111403,19.92451403,854.5803222,874.1589369,122.8026839,53.64940434,16.7471542
134,05CL_2850,B97xCML254,993.7103231,1035.567663,132.2995292,73.65525843,23.64731863,911.867486,916.730556,116.1488597,51.72939357,18.5050231
135,05CL_2851,B97xCML254,982.3109442,1055.192517,177.0142674,80.65452405,21.28117804,881.5914322,921.2829478,131.2991172,57.08487598,17.50813071
136,05CL_2852,B97xCML254,949.9648174,995.5454418,168.8782146,87.16485391,20.3356058,888.0092314,905.1979733,132.5429518,60.58085025,16.98150652
137,05CL_2853,B97xCML254,950.9161107,1069.347638,140.705059,65.03017094,22.25814435,888.1691944,924.6009378,123.9224094,52.66371001,18.64028399
138,05CL_2854,B97xCML254,1036.578552,1087.941889,172.6723937,82.9617017,23.06563112,910.6942472,945.642266,126.5880063,50.17965968,17.98386202
139,05CL_2855,B97xCML254,1017.276691,1112.339051,180.1173889,90.95139053,23.15967567,911.0765882,927.7194166,131.6591297,71.05969296,19.12813337
140,05CL_2856,B97xCML254,1045.376529,1099.144777,204.4585702,106.7168588,22.54190889,916.8472243,922.2365801,144.4378409,77.37215089,18.48041478
141,05CL_2857,B97xCML254,1023.60936,1059.450368,184.3927586,106.2898939,23.80347511,919.6305698,924.558061,134.4620625,77.56005075,20.34163398
142,05CL_2858,B97xCML254,916.8762467,960.7843829,161.7733136,83.91936862,20.90689958,871.3938485,884.8871979,138.1526121,67.82257175,17.37965337
143,05CL_2859,B97xCML254,1015.910154,1028.715808,190.3720139,105.2097394,25.05632769,947.3565199,929.1528917,134.139618,77.44087989,21.01860636
144,05CL_2860,B97xCML254,1017.074801,1058.01168,197.8503129,116.800876,22.70968671,908.8989153,899.5538615,135.0819044,74.43917971,18.16135272
145,05CL_2861,B97xCML254,1003.884736,1040.811216,149.8129339,79.68568762,20.13659038,905.7657548,919.3302161,118.7220578,57.13090635,17.86089039
