id,progeny,family,Mons_DMY,Einbeck_DMY,Wadersloh_DMY,Roggenstein_DMY,Mons_DMC,Einbeck_DMC,Wadersloh_DMC,Roggenstein_DMC,Mons_PH,Einbeck_PH,Wadersloh_PH,Roggenstein_PH,Mons_DtTAS,Einbeck_DtTAS,Wadersloh_DtTAS,Roggenstein_DtTAS,Mons_DtSILK,Einbeck_DtSILK,Wadersloh_DtSILK,Roggenstein_DtSILK,Mons_NBPL,Einbeck_NBPL,Wadersloh_NBPL,Roggenstein_NBPL
636,CFD10-132,CFD10,174.3001836,226.8622436,161.9660766,207.8868503,42.17098405,31.59979471,34.37888343,35.93927962,227.2028083,299.4242919,270.7195642,302.8711396,84.84336096,85.33956383,74.12052528,83.62771038,84.65130416,83.30848545,77.16899897,84.83579238,79.98900902,95.36430987,76.48040395,79.53434205
637,CFD10-133,CFD10,177.5984275,204.1622507,160.5678844,215.1957826,44.73794014,32.19801423,32.24237159,34.6132383,263.5402846,300.4857272,312.347922,350.7858498,86.7767588,85.45498052,73.51145095,86.51552939,86.80062692,86.37975804,80.48191243,85.22414472,80.00268503,93.32029795,70.56410597,81.14403546
638,CFD10-136,CFD10,185.1376974,212.4622471,155.9158817,178.1837127,43.86721613,30.09259078,33.48721176,35.90376587,239.0246522,292.066841,264.3586411,311.0894858,85.03573236,87.40061758,73.94720981,84.84189518,85.03098426,87.19430319,78.96916169,89.14408758,74.04068742,81.53953488,64.58841469,75.54511245
639,CFD10-138,CFD10,140.7733333,215.2377561,171.0729331,226.1609619,39.81317559,29.10519981,34.8816902,33.8035118,240.5049803,301.9225066,307.8854204,329.7106548,87.19605766,83.87651145,73.97162448,86.25710462,89.73065593,84.68648398,78.99084853,86.72326265,80.15715716,97.44071802,69.61578149,81.95435804
640,CFD10-139,CFD10,151.6949949,203.8622473,171.1524892,189.5000212,43.52169082,31.25318855,34.42254179,39.19725488,226.6751271,300.9974984,299.0035894,297.8454141,83.72054708,79.6843734,74.05269473,84.90025041,84.85074663,80.37527203,77.58178183,84.90663627,80.15261373,89.71679488,76.36428386,81.51835525
641,CFD10-142,CFD10,147.0344564,200.0622478,138.750444,195.0200508,44.59645369,30.82364127,34.75513277,40.92453935,231.0253138,300.4445944,295.8991675,314.9591402,85.16009141,83.48709397,73.97732007,81.34809625,85.98353392,83.36167239,79.73806342,82.48184517,69.05486775,81.66221523,61.89834154,76.68506774
642,CFD10-143,CFD10,138.7862987,211.350003,167.4350825,201.9197363,44.52868154,31.5975768,41.40584193,39.60251288,232.8991811,301.5876768,292.9120741,299.8516141,84.51588649,81.17404387,74.25595935,84.0486921,84.48796815,82.02175543,76.1101012,84.31279453,NA,95.1936556,69.51216014,85.33772693
643,CFD10-145,CFD10,149.1996429,180.5377549,126.9652936,168.8456305,44.73538159,34.76586465,36.98045561,36.57252773,227.6943218,289.0616318,268.3883063,290.8456357,83.02291788,80.28337819,73.94878124,78.29274183,83.07324493,79.37754174,76.01940625,78.41202898,78.43521708,98.16829423,76.42716841,85.68271079
644,CFD10-146,CFD10,222.7984275,236.3622478,178.7091943,197.2921996,41.63794014,29.92364127,29.78117195,31.46940774,265.5402846,310.4445944,307.8188467,337.7749013,86.7767588,85.48709397,74.01450893,86.42437201,86.80062692,89.36167239,81.48209643,90.21799475,77.00268503,86.66221523,73.03855667,71.72880212
645,CFD10-147,CFD10,167.4001924,222.637749,155.4544107,206.811507,44.30749369,34.30949053,35.48836699,36.91184981,234.6172265,298.8471101,294.4589706,332.4766456,85.5744196,84.93985357,73.95493388,86.35077921,85.56742539,84.81136035,78.25219098,85.704208,79.17782766,92.84161883,70.5299875,82.19817672
646,CFD10-149,CFD10,132.0752024,212.5500023,159.1289075,183.8725021,43.52693858,31.13604495,34.98299127,32.68788978,227.4320779,307.5587067,301.252496,307.2095203,83.49704511,84.96118048,74.03906485,83.13134462,84.49454313,85.46961392,77.16113369,86.35997046,75.90354718,95.20794752,70.63144596,85.98017028
647,CFD10-152,CFD10,182.2754438,225.1622419,160.3367974,208.4189381,42.71346521,30.71407603,32.23467056,34.7567619,236.7588126,297.1208353,306.1157077,324.8217546,86.06192258,85.59532025,73.92361107,85.81466861,85.37999598,85.43595583,80.28629993,84.77242844,79.89600153,96.02643286,66.38820654,82.45231388
648,CFD10-153,CFD10,168.8829005,222.299997,168.1015962,223.6940733,41.93723515,32.69770034,33.42349901,36.73620853,227.6931274,299.426138,282.5767817,315.9020884,86.08219589,86.03121512,74.03208348,85.64652344,87.07535491,85.95223032,78.23864909,89.61930921,79.71397929,91.25661841,76.40555142,90.94797916
649,CFD10-154,CFD10,154.97129,219.1622472,175.9228237,196.4879572,43.03305211,31.70263732,33.94334827,34.48163607,234.1566875,312.0302015,304.6625884,318.8647183,87.66578257,84.40346037,74.01081368,84.35432158,89.2083674,86.38439066,81.32576363,85.13653564,78.27096789,98.81960143,73.02183165,93.19425359
650,CFD10-301,CFD10,190.9752024,213.6999988,134.3660766,205.5715595,42.32693858,28.57381828,31.37888343,30.933251,220.4320779,286.494637,265.7195642,306.5182853,81.49704511,82.39851356,74.12052528,79.11975041,81.49454313,82.47656335,78.16899897,84.30457186,79.90354718,91.22445093,69.48040395,82.19762438
651,CFD10-302,CFD10,180.0492794,221.1622338,154.686848,216.3618695,43.30323805,29.95333279,30.25741681,35.48861279,232.4691864,316.3835176,305.1456563,321.0655344,84.24485857,80.42014412,74.01957964,82.56803738,84.7575864,80.46085713,77.76671159,83.03743011,78.0722431,96.35373822,70.45684765,86.46750827
652,CFD10-303,CFD10,197.8262905,216.5000028,137.6903849,191.0852509,43.13905037,31.34965156,35.58146461,34.40779823,244.2776498,299.9982679,273.5962825,332.8406701,83.49974896,82.92976888,74.00833644,85.54166835,83.63506302,82.51873896,76.38355482,83.79650516,78.66410814,91.68099269,62.41473845,84.12730474
653,CFD10-305,CFD10,177.6610489,201.7377527,163.8199307,192.0834127,43.31522501,31.74195869,34.79650774,36.62919662,241.0752747,303.4380641,281.2452413,295.0986515,84.78276347,85.45337951,73.95981476,80.6523416,85.0843776,86.51145642,72.03195294,82.96386082,79.29229177,88.45095467,79.56383406,83.80404136
