id,progeny,DFF2013,DM2013,HT2013,BIO2013,YLKGHA2013,HI2013,x100SDWT2013,DFF2014,DM2014,PHAVG2014,BIO2014,YLKGHA2014,x100SDWT2014,HI2014
934,ICCML10984,49.1762619,94.23497772,48.70680237,322.111145,1055.449707,0.291287005,17.16439247,48.07710648,83,32.99906921,289.7657166,1005.264221,27.22814941,0.415951163
935,ICCML10985,54.1240387,94.02274323,33.8370285,199.3750458,1188.770142,0.536595106,18.9981041,52.91618729,93.99999237,35.78617477,440.2099915,2295.831299,21.75885582,0.625276268
936,ICCML10986,39.01958466,90.08338165,37.86510468,292.0909729,2066.459717,0.630414367,20.83380127,49.15756607,80.00000763,35.94194412,436.3032532,1594.52832,19.09710884,0.445057243
937,ICCML10987,62.96735764,102.9014587,43.03953552,383.6538696,1988.689941,0.464521646,20.39611626,56.13074493,96.99998474,38.2703476,325.3100586,1010.762268,20.6831131,0.374106139
938,ICCML10988,53.01958466,95.08338165,40.86510468,209.2308502,1244.319702,0.528920412,22.0238018,49.96982956,84,33.22307587,280.5519409,1596.027588,21.36948204,0.680886328
939,ICCML10989,53.7507515,96.32593536,37.35823441,389.7391357,2399.76001,0.554245889,20.21757317,52.10392761,90.00000763,34.33282471,451.2374573,2177.712158,20.62355614,0.578470707
940,ICCML10990,39.01958466,90.08338165,40.19843674,202.666748,1333.199707,0.585731566,32.37380219,50.10392761,85.00000763,46.99948883,311.2374573,1644.758789,28.96292496,0.634450614
941,ICCML10991,46.96735764,102.9014587,41.3728714,101.333374,644.3800659,0.570323706,14.01611614,49.75527191,96,41.42653275,199.7890472,599.8433838,11.71730614,0.36168462
942,ICCML10992,48.7507515,90.32593536,42.02490234,213.5384674,1499.849976,0.63223362,20.5175724,52.91618729,91.99999237,33.78617477,210.2099915,1006.680542,18.13107681,0.574366093
943,ICCML10993,45.38516617,94.87113953,37.85196304,136.6665039,844.3601685,0.565229952,25.06503677,49.10392761,84.00000763,43.33282471,303.2374573,1331.883911,23.28666687,0.526952207
944,ICCML10994,47.01958466,90.08338165,40.86510468,320.000061,2066.459717,0.574876308,16.31380272,48.13074493,84.99998474,34.93701172,395.3100586,1845.761475,26.37197876,0.561714292
945,ICCML10995,55.01958466,107.0833817,37.19843674,238.0000763,1222.099731,0.455811173,23.54380226,54.07710648,96,35.33240509,379.7657166,1108.806152,20.52408409,0.350102693
946,ICCML10996,52.1762619,98.23497772,35.70680237,196.923111,1299.869751,0.590498328,20.814394,51.88936996,85.00000763,29.35336876,196.83255,704.1351929,17.23691559,0.428269595
947,ICCML10997,52.1240387,102.0227432,48.8370285,253.9286194,1066.560181,0.377977043,26.43810272,49.15756607,81.00000763,37.60860825,356.3032532,1420.181396,21.71570587,0.483595133
948,ICCML10998,52.07181168,96.29561615,40.60525131,247.5000763,1244.32019,0.45109123,13.43354702,50.10392761,85.00000763,37.33282471,191.237442,703.0521851,13.85741806,0.441725641
949,ICCML10999,64.01958466,110.0833817,44.86510468,252.0000763,1844.259766,0.652356446,21.55380249,55.13074493,94.99998474,41.93701172,240.3100433,713.4645386,14.63521481,0.357627302
950,ICCML11000,53.1240387,95.02274323,40.50369644,252.7778168,1488.740112,0.530027866,27.38810349,49.07710648,86,32.33240509,289.7657166,1038.667603,24.75741768,0.429778755
951,ICCML11001,40.7507515,90.32593536,40.02490234,316.8181763,2222,0.631305933,17.99757195,49.75527191,83,35.42653275,489.7890625,2321.404297,20.66070366,0.570369303
952,ICCML11002,52.01958466,91.08338165,36.19843674,314.8235779,2244.219727,0.635255575,20.37380219,49.75527191,81,38.09319687,389.7890625,1603.941528,20.82072639,0.495352566
953,ICCML11003,64.01958466,108.0833817,45.86510468,325.875061,1322.089722,0.358796984,27.38380241,52.15756607,97.00000763,37.94194412,306.3032532,696.2211304,21.95990753,0.279624701
954,ICCML11004,49.38516617,101.8711395,41.85196304,164.5712585,1155.440063,0.641076803,28.23503685,48.96982956,82,25.8897419,200.5519409,564.2738647,23.4525795,0.335300624
955,ICCML11005,54.07181168,104.2956161,34.60525131,189.6429291,1055.450195,0.499507606,25.0135479,54.96982956,93,35.22307587,255.5519409,886.1450806,21.0967865,0.413777113
956,ICCML11006,64.07180786,102.2956161,40.93858337,312.4211426,1610.950195,0.462683231,16.68354797,55.13074493,96.99998474,30.60368156,230.3100433,594.428833,14.16553116,0.311013162
