id,progeny,PH2015,PH2016,Phmean
361,WM-800_385,85,60,72.5
362,WM-800_386,80,85,82.5
363,WM-800_387,89,70,79.5
364,WM-800_388,71,83,77
365,WM-800_389,84,67,75.5
366,WM-800_390,83,83,83
367,WM-800_391,66,65,65.5
368,WM-800_392,90,84,87
369,WM-800_393,85,68,76.5
370,WM-800_394,99,83,91
371,WM-800_396,112,101,106.5
372,WM-800_397,93,80,86.5
373,WM-800_398,89,74,81.5
374,WM-800_399,85,76,80.5
375,WM-800_400,75,72,73.5
376,WM-800_401,80,79,79.5
377,WM-800_402,84,76,80
378,WM-800_403,92,74,83
379,WM-800_404,81,59,70
380,WM-800_405,76,64,70
381,WM-800_406,71,67,69
382,WM-800_407,78,74,76
383,WM-800_408,69,59,64
384,WM-800_409,78,65,71.5
385,WM-800_410,74,69,71.5
386,WM-800_411,82,67,74.5
387,WM-800_412,67,55,61
388,WM-800_413,60,50,55
389,WM-800_414,82,64,73
390,WM-800_415,66,63,64.5
391,WM-800_416,87,85,86
392,WM-800_417,75,66,70.5
393,WM-800_418,61,54,57.5
394,WM-800_419,72,67,69.5
395,WM-800_420,68,61,64.5
396,WM-800_421,88,88,88
397,WM-800_422,77,75,76
398,WM-800_423,102,93,97.5
399,WM-800_424,98,78,88
400,WM-800_425,101,85,93
401,WM-800_426,81,80,80.5
402,WM-800_427,59,49,54
403,WM-800_428,83,73,78
404,WM-800_429,89,78,83.5
405,WM-800_430,92,88,90
406,WM-800_431,89,72,80.5
407,WM-800_432,91,83,87
408,WM-800_433,88,79,83.5
409,WM-800_434,75,61,68
410,WM-800_435,85,74,79.5
411,WM-800_436,77,64,70.5
412,WM-800_437,73,56,64.5
413,WM-800_438,76,58,67
414,WM-800_439,71,65,68
415,WM-800_440,89,70,79.5
416,WM-800_441,71,60,65.5
417,WM-800_442,65,52,58.5
418,WM-800_443,68,68,68
419,WM-800_444,78,69,73.5
420,WM-800_445,72,72,72
421,WM-800_446,75,69,72
422,WM-800_447,72,77,74.5
423,WM-800_448,75,71,73
424,WM-800_449,106,89,97.5
425,WM-800_450,68,64,66
426,WM-800_451,68,66,67
427,WM-800_452,75,68,71.5
428,WM-800_453,98,80,89
429,WM-800_454,83,75,79
430,WM-800_455,60,54,57
431,WM-800_456,72,56,64
432,WM-800_457,71,64,67.5
433,WM-800_458,85,64,74.5
434,WM-800_459,75,63,69
435,WM-800_460,78,65,71.5
436,WM-800_461,73,62,67.5
437,WM-800_462,82,58,70
438,WM-800_463,70,54,62
439,WM-800_464,63,59,61
440,WM-800_465,98,80,89
441,WM-800_466,94,73,83.5
442,WM-800_467,82,60,71
443,WM-800_468,80,72,76
444,WM-800_469,107,87,97
445,WM-800_470,71,65,68
446,WM-800_471,80,70,75
447,WM-800_472,85,75,80
448,WM-800_473,87,72,79.5
449,WM-800_474,64,63,63.5
450,WM-800_475,81,78,79.5
451,WM-800_476,85,67,76
452,WM-800_477,64,66,65
453,WM-800_478,75,70,72.5
454,WM-800_479,76,63,69.5
455,WM-800_480,70,64,67
456,WM-800_481,85,68,76.5
457,WM-800_482,80,71,75.5
458,WM-800_483,75,70,72.5
459,WM-800_484,100,92,96
460,WM-800_485,89,69,79
461,WM-800_486,91,91,91
462,WM-800_487,107,96,101.5
463,WM-800_488,86,83,84.5
464,WM-800_489,79,71,75
465,WM-800_490,100,86,93
466,WM-800_491,91,86,88.5
467,WM-800_492,79,77,78
468,WM-800_493,78,66,72
469,WM-800_494,76,72,74
470,WM-800_495,91,87,89
471,WM-800_496,95,89,92
472,WM-800_497,94,83,88.5
473,WM-800_498,90,86,88
474,WM-800_499,101,90,95.5
475,WM-800_500,104,94,99
476,WM-800_501,87,82,84.5
477,WM-800_502,90,89,89.5
478,WM-800_503,84,75,79.5
479,WM-800_504,81,72,76.5
480,WM-800_505,76,72,74
481,WM-800_506,75,75,75
482,WM-800_507,83,70,76.5
483,WM-800_508,82,73,77.5
484,WM-800_509,95,83,89
485,WM-800_510,70,67,68.5
486,WM-800_511,75,60,67.5
487,WM-800_512,75,63,69
488,WM-800_513,70,62,66
489,WM-800_514,78,66,72
490,WM-800_515,85,78,81.5
491,WM-800_516,66,74,70
492,WM-800_517,70,65,67.5
493,WM-800_518,72,73,72.5
494,WM-800_519,65,62,63.5
495,WM-800_520,72,66,69
496,WM-800_521,92,80,86
497,WM-800_522,80,78,79
498,WM-800_523,91,79,85
499,WM-800_524,101,96,98.5
500,WM-800_525,94,84,89
501,WM-800_526,90,80,85
502,WM-800_527,76,75,75.5
503,WM-800_528,99,85,92
504,WM-800_529,72,77,74.5
505,WM-800_530,89,79,84
506,WM-800_531,90,77,83.5
507,WM-800_532,89,83,86
508,WM-800_533,101,77,89
509,WM-800_534,93,94,93.5
510,WM-800_535,101,83,92
511,WM-800_536,80,65,72.5
512,WM-800_537,92,83,87.5
513,WM-800_538,94,80,87
514,WM-800_539,90,82,86
515,WM-800_540,83,90,86.5
516,WM-800_541,97,97,97
517,WM-800_542,97,100,98.5
518,WM-800_543,102,97,99.5
519,WM-800_544,92,84,88
520,WM-800_545,92,88,90
521,WM-800_546,94,87,90.5
522,WM-800_547,101,93,97
523,WM-800_548,80,79,79.5
524,WM-800_549,95,78,86.5
525,WM-800_550,89,82,85.5
526,WM-800_551,77,74,75.5
527,WM-800_552,89,74,81.5
528,WM-800_553,100,89,94.5
529,WM-800_554,111,95,103
530,WM-800_555,74,67,70.5
531,WM-800_556,90,80,85
532,WM-800_557,86,67,76.5
533,WM-800_558,110,93,101.5
534,WM-800_559,85,75,80
535,WM-800_560,83,73,78
