id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
115,MAGIC125,MAGIC,62,77,47,47,2,1,99,120,1420.35,447.49,16.25,19.75
116,MAGIC126,MAGIC,64,67,48,47,2,2,99,120,1754.16,404.72,16,18.6
117,MAGIC127,MAGIC,43,47,35,37,1,1,74,65,1102.42,537.12,18.8,19.55
118,MAGIC128,MAGIC,76,NA,55,54,2,1,106,120,164,19.96,13.1,16.96
119,MAGIC129,MAGIC,90,NA,57,57,2,2,106,120,744.7,29.36,15.8,11.61
120,MAGIC130,MAGIC,61,63,43,44,2,2,81,85,1494.88,1182.46,14.85,14.7
121,MAGIC131,MAGIC,67,70,42,40,3,1,76,94,1224.31,352.11,17.1,18.55
122,MAGIC132,MAGIC,90,NA,55,54,2,1,109,120,2044.52,965.23,23.45,21.8
123,MAGIC133,MAGIC,59,65,42,42,2,2,99,99,1531.83,543.84,27.6,28.59
124,MAGIC134,MAGIC,56,64,46,46,4,4,89,120,923.54,457.96,10.4,9.1
125,MAGIC135,MAGIC,68,76,44,43,2,2,82,82,1108.62,604.41,13.45,16.3
126,MAGIC136,MAGIC,47,51,42,40,3,2,85,109,1481.11,908.87,16.15,16.4
127,MAGIC138,MAGIC,52,55,39,35,2,1,78,72,1443.57,472.96,19.65,19.2
128,MAGIC139,MAGIC,90,NA,46,47,4,1,85,99,2038.62,937.05,24.9,21.2
129,MAGIC140,MAGIC,63,69,41,38,2,2,82,94,1266.36,931.18,16.05,17.5
130,MAGIC141,MAGIC,76,70,43,41,3,2,78,72,1655.72,698.38,11.55,15
131,MAGIC143,MAGIC,45,47,38,37,2,2,74,69,985.97,668.15,19.9,23.9
132,MAGIC144,MAGIC,47,47,41,39,2,2,78,80,1702.82,690.29,16.1,18.2
133,MAGIC146,MAGIC,43,45,37,36,3,2,74,69,1562.72,608.42,16.1,18.2
